Year,Data

1960,20.0
1961,33.0
1962,39.0
1963,23.0
1964,39.0
1965,32.0
1966,29.0
1967,36.0
1968,38.0
1969,37.0
1970,34.0
1971,36.0
1972,39.0
1973,36.0
1974,24.0
1975,44.0
1976,60.0
1977,41.0
1978,33.0
1979,36.0
1980,24.0
1981,36.0
1982,30.0
1983,52.0
1984,53.0
1985,15.0
1986,36.0
1987,21.0
1988,29.0
1989,39.0
1990,37.0
1991,32.0
1992,30.0
1993,37.0
1994,34.0
1995,60.0
1996,43.0
1997,29.0
1998,24.0
1999,38.0
2000,33.0
2001,32.0
2002,24.0
2003,43.0
2004,23.0
2005,34.0
2006,40.0
2007,23.0
2008,23.0
2009,26.0
2010,31.0
2011,32.0
2012,16.0
2013,49.0
2014,30.0
2015,27.0
2016,28.0
