Year,Data

1960,42.0
1961,27.0
1962,25.0
1963,24.0
1964,41.0
1965,23.0
1966,32.0
1967,46.0
1968,40.0
1969,53.0
1970,49.0
1971,41.0
1972,28.0
1973,53.0
1974,32.0
1975,70.0
1976,72.0
1977,35.0
1978,26.0
1979,32.0
1980,28.0
1981,36.0
1982,46.0
1983,64.0
1984,60.0
1985,23.0
1986,25.0
1987,35.0
1988,26.0
1989,65.0
1990,48.0
1991,54.0
1992,53.0
1993,33.0
1994,51.0
1995,68.0
1996,52.0
1997,63.0
1998,34.0
1999,51.0
2000,51.0
2001,53.0
2002,48.0
2003,72.0
2004,54.0
2005,59.0
2006,70.0
2007,41.0
2008,43.0
2009,61.0
2010,63.0
2011,41.0
2012,38.0
2013,64.0
2014,63.0
2015,46.0
2016,60.0
