Year,Data
1929-01-01,1505.845478
1930-01-01,1313.805282
1931-01-01,1229.343048
1932-01-01,1230.425610
1933-01-01,1451.744571
1934-01-01,1375.379760
1935-01-01,1409.638456
1936-01-01,1279.267614
1937-01-01,1229.155436
1938-01-01,1302.387811
1939-01-01,1340.605246
1940-01-01,1384.739813
1941-01-01,1245.858422
1942-01-01,1324.133439
1943-01-01,1395.196497
1944-01-01,1235.930038
1945-01-01,1303.274661
1946-01-01,1323.396855
1947-01-01,1359.430909
1948-01-01,1397.691755
1949-01-01,1535.894109
1950-01-01,1371.391768
1951-01-01,1374.935460
1952-01-01,1381.130849
1953-01-01,1358.619875
1954-01-01,1219.723412
1955-01-01,1561.451436
1956-01-01,1343.967461
1957-01-01,1369.374772
1958-01-01,1224.097026
1959-01-01,1533.956882
1960-01-01,1350.765374
1961-01-01,1311.318167
1962-01-01,1330.355923
1963-01-01,1294.073389
1964-01-01,1259.066346
1965-01-01,1248.749715
1966-01-01,1224.210421
1967-01-01,1341.463730
1968-01-01,1244.548657
1969-01-01,1323.769373
1970-01-01,1340.363992
1971-01-01,1351.254818
1972-01-01,1266.707232
1973-01-01,1355.643844
1974-01-01,1334.665879
1975-01-01,1471.507902
1976-01-01,1417.330202
1977-01-01,1358.388427
1978-01-01,1214.988875
1979-01-01,1276.601734
1980-01-01,1249.484514
1981-01-01,1232.037500
1982-01-01,1330.119344
1983-01-01,1253.201712
1984-01-01,1388.785632
1985-01-01,1263.784018
1986-01-01,1346.979888
1987-01-01,1239.920613
1988-01-01,1309.400786
1989-01-01,1544.493226
1990-01-01,1470.782494
1991-01-01,1289.802366
1992-01-01,1275.994875
1993-01-01,1204.204447
1994-01-01,1351.584490
1995-01-01,1567.647071
1996-01-01,1381.393905
1997-01-01,1412.269723
1998-01-01,1255.021045
1999-01-01,1400.788162
2000-01-01,1355.181948
2001-01-01,1414.124243
2002-01-01,1306.154632
2003-01-01,1586.156800
2004-01-01,1363.116971
2005-01-01,1398.235224
2006-01-01,1494.970181
2007-01-01,1451.062389
2008-01-01,1392.894148
2009-01-01,1470.583594
2010-01-01,1459.616377
2011-01-01,1407.374377
2012-01-01,1344.218543
2013-01-01,1422.533173
2014-01-01,1427.660452
2015-01-01,1456.783395
2016-01-01,1426.852569
