Year,Data

1960,7.0
1961,3.0
1962,6.0
1963,0.0
1964,5.0
1965,7.0
1966,6.0
1967,4.0
1968,2.0
1969,5.0
1970,2.0
1971,1.0
1972,7.0
1973,3.0
1974,8.0
1975,4.0
1976,1.0
1977,7.0
1978,9.0
1979,7.0
1980,3.0
1981,2.0
1982,6.0
1983,7.0
1984,5.0
1985,4.0
1986,8.0
1987,1.0
1988,4.0
1989,6.0
1990,12.0
1991,6.0
1992,6.0
1993,9.0
1994,9.0
1995,11.0
1996,5.0
1997,6.0
1998,4.0
1999,11.0
2000,5.0
2001,3.0
2002,11.0
2003,5.0
2004,7.0
2005,5.0
2006,9.0
2007,6.0
2008,6.0
2009,3.0
2010,3.0
2011,3.0
2012,9.0
2013,8.0
2014,10.0
2015,13.0
2016,10.0
