Year,Data
1971-01-01,8.270093
1972-01-01,11.230994
1973-01-01,12.742278
1974-01-01,10.670488
1975-01-01,8.373998
1976-01-01,18.168021
1977-01-01,13.986699
1978-01-01,23.579967
1979-01-01,26.758594
1980-01-01,13.968782
1981-01-01,24.966029
1982-01-01,11.810291
1983-01-01,15.118002
1984-01-01,18.978900
1985-01-01,18.957615
1986-01-01,26.696953
1987-01-01,13.058297
1988-01-01,13.244907
1989-01-01,8.556135
1990-01-01,13.630062
1991-01-01,14.271579
1992-01-01,5.649504
1993-01-01,16.257617
1994-01-01,15.522113
1995-01-01,17.604822
1996-01-01,16.250706
1997-01-01,9.354021
1998-01-01,7.386518
1999-01-01,16.239469
2000-01-01,10.144377
2001-01-01,13.841996
2002-01-01,7.120019
2003-01-01,11.291851
2004-01-01,12.032954
2005-01-01,14.822435
2006-01-01,6.907792
2007-01-01,6.503595
2008-01-01,6.622054
2009-01-01,14.967708
2010-01-01,27.005987
2011-01-01,11.719370
