Data,Year
112.19478700659937,1974-08-01
112.19185128684123,1976-05-01
112.18888742843191,1976-07-01
112.1858956083422,1977-04-01
112.18287600354284,1979-04-01
112.17982879100465,1931-05-01
112.17675414769838,1931-10-01
112.1736522505948,1932-01-01
112.17052327666471,1936-11-01
112.16736740287887,1937-06-01
112.16418480620807,1939-04-01
112.16097566362306,1939-09-01
112.15774015209465,1940-05-01
112.1544784485936,1942-08-01
112.15119073009068,1943-01-01
112.14787717355668,1943-03-01
112.14453795596236,1943-12-01
112.14117325427853,1944-05-01
112.13778324547592,1945-03-01
112.13436810652534,1948-11-01
112.13092801439755,1954-05-01
112.12746314606335,1955-05-01
112.12397367849348,1956-05-01
112.12045978865875,1957-07-01
112.11692165352991,1958-07-01
112.11335945007777,1958-08-01
112.10977335527306,1960-01-01
112.10616354608659,1962-02-01
112.10253019948914,1962-05-01
112.09887349245147,1962-09-01
112.09519360194436,1963-06-01
112.0914907049386,1965-02-01
112.08776497840493,1966-05-01
112.08401659931417,1966-06-01
112.08024574463707,1966-08-01
112.0764525913444,1967-04-01
112.07263731640698,1967-09-01
112.06880009679554,1968-08-01
112.06494110948088,1968-09-01
112.06106053143377,1968-10-01
112.05715853962498,1970-12-01
112.0532353110253,1971-02-01
112.0492910226055,1971-08-01
112.04532585133634,1972-01-01
112.04133997418863,1972-07-01
112.03733356813314,1976-01-01
112.03330681014062,1976-12-01
112.02925987718186,1978-02-01
112.02519294622765,1978-07-01
112.02110619424874,1981-04-01
112.01699979821593,1982-09-01
112.01287393509999,1983-03-01
112.0087287818717,1983-05-01
112.00456451550183,1983-12-01
112.00038131296114,1984-04-01
111.99617935122045,1984-11-01
111.9919588072505,1986-10-01
111.98771985802207,1986-12-01
111.98346268050595,1931-07-01
111.97918745167291,1931-08-01
111.97489434849373,1931-09-01
111.97058354793919,1935-08-01
111.96625522698004,1936-06-01
111.9619095625871,1936-07-01
111.9575467317311,1937-01-01
111.95316691138285,1938-07-01
111.94877027851312,1938-08-01
111.94435701009267,1942-01-01
111.9399272830923,1945-04-01
111.93548127448278,1945-09-01
111.93101916123487,1946-10-01
111.92654112031937,1947-02-01
111.92204732870704,1948-07-01
111.91753796336866,1949-07-01
111.913013201275,1950-01-01
111.90847321939687,1950-07-01
111.903918194705,1950-11-01
111.89934830417019,1952-05-01
