Data,Year

1342.3370594933683,1929
1342.9777543713083,1930
1343.5113830860448,1931
1343.9423813330147,1932
1344.275184807654,1933
1344.5142292054002,1934
1344.6639502216892,1935
1344.728783551958,1936
1344.713164891643,1937
1344.6215299361809,1938
1344.4583143810082,1939
1344.2279539215617,1940
1343.9348842532781,1941
1343.5835410715936,1942
1343.1783600719452,1943
1342.7237769497694,1944
1342.224227400503,1945
1341.6841471195821,1946
1341.107971802444,1947
1340.5001371445248,1948
1339.8650788412613,1949
1339.20723258809,1950
1338.5310340804476,1951
1337.8409190137709,1952
1337.1413230834962,1953
1336.4366819850604,1954
1335.7314314139,1955
1335.0300070654514,1956
1334.3368446351517,1957
1333.656379818437,1958
1332.9930483107444,1959
1332.35128580751,1960
1331.7355280041709,1961
1331.1502105961633,1962
1330.5997692789242,1963
1330.08863974789,1964
1329.6212576984974,1965
1329.202058826183,1966
1328.8354788263832,1967
1328.525953394535,1968
1328.2779182260747,1969
1328.095809016439,1970
1327.9840614610648,1971
1327.9471112553883,1972
1327.9893940948464,1973
1328.1153456748755,1974
1328.3294016909124,1975
1328.6359978383935,1976
1329.0395698127556,1977
1329.5445533094355,1978
1330.1553840238694,1979
1330.8764976514942,1980
1331.7123298877464,1981
1332.6673164280626,1982
1333.7458929678796,1983
1334.9524952026338,1984
1336.291558827762,1985
1337.7675195387005,1986
1339.3848130308863,1987
1341.1478749997557,1988
1343.0611411407456,1989
1345.1290471492925,1990
1347.356028720833,1991
1349.7465215508037,1992
1352.3049613346411,1993
1355.0357837677823,1994
1357.9434245456632,1995
1361.032319363721,1996
1364.306903917392,1997
1367.771613902113,1998
1371.4308850133204,1999
1375.2891529464512,2000
1379.3508533969416,2001
1383.6204220602283,2002
1388.1022946317482,2003
1392.8009068069377,2004
1397.7206942812334,2005
1402.8660927500719,2006
1408.24153790889,2007
1413.851465453124,2008
1419.700311078211,2009
1425.7925104795872,2010
1432.1324993526891,2011
1438.7247133929538,2012
1445.5735882958177,2013
1452.6835597567174,2014
1460.0590634710895,2015
1467.7045351343706,2016
