Data,Year
2.962971107724478,1962-06-14
2.9629468147184874,1962-06-24
2.9629225312608494,1962-07-05
2.962898257350718,1962-08-23
2.9628739929872476,1962-09-06
2.9628497381695915,1962-09-17
2.9628254928969047,1962-09-21
2.9628012571683406,1962-10-05
2.962777030983054,1962-10-08
2.962752814340199,1962-10-21
2.962728607238929,1962-11-01
2.962704409678399,1962-11-14
2.9626802216577635,1962-11-24
2.9626560431761755,1962-12-14
2.96263187423279,1962-12-17
2.9626077148267607,1962-12-22
2.962583564957242,1962-12-28
2.9625594246233877,1963-01-04
2.9625352938243528,1963-01-11
2.9625111725592905,1963-01-21
2.9624870608273555,1963-01-30
2.962462958627702,1963-02-04
2.962438865959484,1963-03-01
2.962414782821855,1963-03-11
2.9623907092139703,1963-03-12
2.9623666451349835,1963-03-18
2.9623425905840493,1963-03-29
2.9623185455603207,1963-04-03
2.9622945100629527,1963-04-29
2.9622704840910994,1963-04-30
2.962246467643915,1963-05-10
2.9622224607205534,1963-05-27
2.962198463320169,1963-06-21
2.9621744754419153,1963-06-25
2.9621504970849473,1963-07-08
2.962126528248419,1963-07-29
2.9621025689314844,1963-08-01
2.9620786191332975,1963-08-02
2.9620546788530127,1963-08-09
2.962030748089784,1963-08-12
2.9620068268427655,1963-08-17
2.9619829151111117,1963-08-29
2.961959012893977,1963-09-09
2.9619351201905144,1963-09-20
2.961911236999879,1963-11-30
2.9618873633212246,1963-12-10
2.9618634991537056,1963-12-12
2.961839644496476,1964-01-07
2.9618157993486904,1964-01-08
2.9617919637095023,1964-01-17
2.961768137578066,1964-02-16
2.961744320953536,1964-03-13
2.961720513835066,1964-04-01
2.9616967162218106,1964-04-09
2.9616729281129235,1964-04-22
2.9616491495075596,1964-05-06
2.961625380404872,1964-05-07
2.9616016208040157,1964-05-30
2.961577870704145,1964-06-06
2.961554130104413,1964-06-19
2.9615303990039745,1964-07-03
2.9615066774019843,1964-07-07
2.9614829652975954,1964-07-23
2.9614592626899627,1964-07-31
2.96143556957824,1964-08-05
2.9614118859615814,1964-08-10
2.9613882118391417,1964-09-09
2.9613645472100742,1964-09-18
2.961340892073534,1964-09-22
2.9613172464286746,1964-10-24
2.96129361027465,1964-11-17
