Year,Data

1929,1505.8454783280238
1930,1313.8052823631624
1931,1229.3430475914665
1932,1230.4256096148276
1933,1451.7445709045276
1934,1375.379759629308
1935,1409.638456414712
1936,1279.267613669273
1937,1229.1554358528813
1938,1302.3878105994786
1939,1340.605245680085
1940,1384.7398127232361
1941,1245.8584216623226
1942,1324.133438555845
1943,1395.1964967660974
1944,1235.9300376484216
1945,1303.2746606815329
1946,1323.396854908775
1947,1359.430909354185
1948,1397.691754995656
1949,1535.894109470026
1950,1371.39176754513
1951,1374.9354599864853
1952,1381.1308485375037
1953,1358.6198754706052
1954,1219.723411526209
1955,1561.4514364320878
1956,1343.967461144898
1957,1369.3747716961097
1958,1224.0970257746885
1959,1533.9568819384108
1960,1350.765374070856
1961,1311.3181668114685
1962,1330.3559233516748
1963,1294.073389323294
1964,1259.0663461724105
1965,1248.7497152234773
1966,1224.210420890047
1967,1341.4637300897773
1968,1244.548657206294
1969,1323.7693725263057
1970,1340.3639916980403
1971,1351.2548180326285
1972,1266.7072323583357
1973,1355.6438440003863
1974,1334.665878945844
1975,1471.5079023071726
1976,1417.3302017569265
1977,1358.3884274543875
1978,1214.9888753740709
1979,1276.6017337580847
1980,1249.484513949223
1981,1232.037499758664
1982,1330.1193435659811
1983,1253.2017115551691
1984,1388.7856318177428
1985,1263.784017762332
1986,1346.9798880200792
1987,1239.9206129935324
1988,1309.4007857901343
1989,1544.493226180133
1990,1470.782494449271
1991,1289.8023660584997
1992,1275.9948749879331
1993,1204.204447340477
1994,1351.5844898156195
1995,1567.6470711458635
1996,1381.3939048170673
1997,1412.26972294623
1998,1255.021044502365
1999,1400.7881619847476
2000,1355.1819480644851
2001,1414.124242687518
2002,1306.1546317212085
2003,1586.1567998841588
2004,1363.1169707500726
2005,1398.235224442514
2006,1494.9701814846992
2007,1451.0623892267597
2008,1392.8941480837918
2009,1470.5835939762524
2010,1459.6163770634232
2011,1407.3743768703541
2012,1344.218543295685
2013,1422.5331730862054
2014,1427.66045178106
2015,1456.7833951153584
2016,1426.8525687807705
