Data,Year

1.5726639941541625,1971-06-01
1.5890079694565147,1972-01-01
1.6051770099615628,1972-12-01
1.621171795467272,1974-05-01
1.6369930057716078,1974-12-01
1.6526413206725354,1975-06-01
1.6681174199680204,1976-05-01
1.6834219834560284,1976-12-01
1.6985556909345245,1980-08-01
1.7135192222014743,1980-11-01
1.7283132570548432,1981-09-01
1.7429384752925967,1982-02-01
1.7573955567127,1982-09-01
1.7716851811131185,1984-12-01
1.7858080282918178,1985-02-01
1.7997647780467632,1986-08-01
1.8135561101759203,1987-02-01
1.8271827044772544,1987-04-01
1.8406452407487308,1987-11-01
1.853944398788315,1988-02-01
1.8670808583939726,1989-04-01
1.8800552993636688,1990-07-01
1.8928684014953692,1990-08-01
1.9055208445870389,1992-02-01
1.9180133084366435,1992-10-01
1.9303464728421487,1973-06-01
1.9425210176015195,1974-11-01
1.9545376225127216,1975-01-01
1.96639696737372,1976-07-01
1.9780997319824807,1977-06-01
1.9896465961369687,1977-09-01
2.0010382396351494,1977-10-01
2.0122753422749886,1977-12-01
2.0233585838544514,1978-06-01
2.0342886441715033,1979-12-01
2.04506620302411,1980-06-01
2.0556919402102363,1980-12-01
2.066166535527848,1981-02-01
2.0764906687749103,1981-05-01
2.0866650197493892,1985-04-01
2.096690268249249,1986-04-01
2.1065670940724566,1987-03-01
2.1162961770169764,1987-08-01
2.125878196880774,1987-12-01
2.135313833461815,1988-08-01
2.1446037665580646,1991-08-01
2.1537486759674884,1991-12-01
2.1627492414880516,1992-05-01
2.17160614291772,1992-07-01
2.1803200600544583,1992-08-01
2.188891672696233,1977-07-01
2.1973216606410086,1978-07-01
2.2056107036867507,1979-05-01
2.213759481631425,1979-06-01
2.2217686742729965,1983-07-01
2.229638961409431,1986-10-01
2.237371022838694,1988-04-01
2.244965538358751,1988-07-01
2.2524231877675667,1989-08-01
2.259744650863107,1991-10-01
2.2669306074433373,1993-03-01
2.273981737306223,1993-07-01
2.2808987202497297,1993-09-01
2.2876822360718223,1994-03-01
2.294332964570467,1995-05-01
2.300851585543628,1998-06-01
2.307238778789272,1998-12-01
2.3134952241053637,1999-05-01
2.3196216012898687,1999-09-01
2.3256185901407527,2001-04-01
2.3314868704559806,2002-08-01
2.3372271220335183,2004-06-01
2.342840024671331,2004-11-01
2.3483262581673836,2007-03-01
2.3536865023196425,2010-01-01
2.3589214369260727,1971-04-01
2.3640317417846393,1972-06-01
2.369018096693308,1974-06-01
2.3738811814500442,1974-09-01
2.3786216758528136,1976-04-01
2.383240259699581,1976-10-01
2.387737612788312,1978-02-01
2.392114414916973,1978-10-01
2.396371345883528,1978-11-01
2.4005090854859428,1979-01-01
2.4045283135221833,1981-01-01
2.4084297097902145,1982-06-01
2.4122139540880023,1982-08-01
2.4158817262135113,1983-04-01
2.4194337059647077,1985-11-01
2.422870573139557,1986-01-01
2.4261930075360234,1986-02-01
2.4294016889520735,1988-10-01
2.432497297185672,1990-06-01
2.4354805120347853,1991-04-01
2.4383520132973784,1991-09-01
2.441112480771416,1995-04-01
2.443762594254864,1995-08-01
2.446303033545688,1996-01-01
2.448734478441853,1996-03-01
2.4510576087413254,1972-09-01
2.4532731042420695,1973-03-01
2.455381644742051,1973-11-01
2.4573839100392356,1974-10-01
2.4592805799315887,1976-02-01
2.461072334217075,1976-09-01
2.462759852693661,1978-08-01
2.464343815159312,1981-06-01
2.465824901411992,1981-08-01
2.467203791249668,1983-06-01
2.4684811644703055,1983-11-01
2.4696577008718683,1984-07-01
2.470734080252323,1988-09-01
2.4717109824096353,1988-12-01
2.47258908714177,1989-12-01
2.4733690742466923,1990-03-01
2.4740516235223686,1990-12-01
2.4746374147667636,1992-03-01
2.475127127777842,1992-09-01
2.4755214423535707,1994-01-01
2.4758210382919144,1994-06-01
2.4760265953908385,1995-01-01
2.4761387934483086,1996-04-01
2.47615831226229,1996-06-01
2.476085831630748,2000-11-01
2.475922031351648,1971-02-01
2.4756675912229564,1972-02-01
2.4753231910426368,1973-08-01
2.474889510608656,1973-09-01
2.474367229718979,1973-12-01
2.4737570281715713,1975-07-01
2.473059585764398,1977-02-01
